"FortNames","lng","lat"
"Ankai",74.445934,20.187618
"Tankai",74.455032,20.191002
"Gorakhnath",74.423275,20.192935
"Hadbi Chi Shendi",74.406452,20.215811
"Harishchandragad",73.780618,19.394027
"Konkan Kada",73.770447,19.390829
"Bitangad",73.786154,19.653096
"Patta / Vishramgad",73.839025,19.703607
"Avandha",73.837051,19.74659
"Purandhar",73.974552,18.280214
"Vajramal",73.989916,18.284493
"Raigad",73.442359,18.235506
"Rajgad",73.681612,18.246022
"Torna",73.622861,18.275935
"Tung",73.463516,18.659257
"Tikona",73.512268,18.631281
"Lohgad",73.475876,18.70983
"Visapur",73.490982,18.721536
"Shrivardhan",73.399658,18.827991
"Manaranjan",73.395023,18.830428
"Sarasgad",73.227986,18.542503
"Jajhir-e-Meharoob",72.964325,18.300201
"Korlai",72.908149,18.537112
"Madh",72.794697,19.132483
"Vasai Fort",72.813735,19.330178
"Watch Tower of Kelve Fort",72.726279,19.598991
"Kelve Fort",72.730372,19.602852
"Gorakhgad",73.537331,19.190569
"Sinhgad",73.754225,18.365319
"Sudhagad",73.319664,18.53699
"Chanderi",73.247395,19.061307
"Peth / Kothaligad",73.512611,18.991363
"Panhala",74.10965,16.810293
"Devgad",73.372176,16.387266
"Sindhudurg",73.459718,16.042328
"Vijaydurg",73.333225,16.561063
"Jaigad",73.221656,17.300888
"Kasa / Padmadurga",72.93267,18.322253
"Ajinkyatara",73.994679,17.672801
"Pratapgad",73.57795,17.936316
"Mahuli",73.249969,19.487308
"Ratangad",73.702018,19.498574
"Pabargad",73.778751,19.514027
"Khutta Pinnacle",73.700291,19.509537
"Ratanwadi",73.722709,19.516287
"Vairatgad",73.918848,17.877634
"Dhak",73.425064,18.881113
"Nandgiri",74.099436,17.736833
"Brahmagiri",73.520679,19.915338
"Harihar",73.471756,19.90525
"Brahma",73.481541,19.913482
"Kapda",73.497591,19.908841
"Basgad",73.431416,19.904322
"Anjaneri",73.57132,19.917517
"Dangya",73.593979,19.924295
"Bhagavati / Ratnadurg",73.270386,16.996095
"Colaba Fort",72.864225,18.634249
"Sarjekot ",72.865534,18.637929
"Underi",72.84222,18.706954
"Khanderi",72.812619,18.704424
"Arnala",72.732368,19.465662
"Worli Fort",72.816777,19.023782
"Shevri Fort",72.860245,19.000625
"Karnala",73.118139,18.881239
"Tailbaila",73.334202,18.563598
"Ghangad",73.359157,18.545768
"Rohida",73.821173,18.102619
"Malhargad",74.049734,18.411923
"Irshalgad",73.232181,18.934034
"Jivdhan",73.686247,19.276471
"Naneghat",73.686848,19.2964
"Siddhagad",73.522568,19.157817
"Chakan",73.862479,18.757137
"Shivneri",73.857908,19.196202
"Duke's Nose",73.35862,18.741461
"Chavand",73.748817,19.235308
"Bhairavgad",73.75989,19.331231
"Dhakoba",73.672342,19.238692
"Durg",73.641958,19.216425
"Nimgiri",73.77079,19.294294
"Hadsar",73.802805,19.268612
"Gopalgad",73.152144,17.571651
"Rangna",73.843231,16.079094
"Pargad",74.045405,15.818588
"Lingana",73.50184,18.253582
"Chandan",74.045148,17.847244
"Vandan",74.034634,17.839074
"Makarandgad",73.604343,17.849961
"Daulatabad",75.212853,19.942319
"Vishalgad",73.742638,16.904921
"Machchindra Pinnacle",73.542395,19.194541
"St. Jeorge Fort",72.838014,18.940803
"Tandulwadi",72.840203,19.616506
"Kohoj",72.989479,19.671231
"Laling",74.739583,20.811904
"Salher",73.942795,20.723204
"Mulher",74.067078,20.753224
"Hargad",74.045963,20.75804
"Mora",74.060726,20.752101
"Salota",73.92477,20.728502
"Mangi",74.085617,20.843813
"Tungi",74.096775,20.841166
"Dhodap",74.030685,20.384699
"Ikhara",74.055576,20.385343
"Ravlya",73.970604,20.372469
"Javlya",73.957901,20.3744
"Markindya",73.927345,20.384377
"Saptashrungi",73.907604,20.387113
"Ahivant",73.860569,20.414304
"Achla",73.833961,20.418648
"Kanchana",74.116001,20.375527
"Koldher",74.172134,20.376975
"Rajdher",74.195137,20.386469
"Indrai",74.208183,20.359756
"Chandvad",74.259338,20.336096
"Ramsej",73.768387,20.112279
"Durgadi",73.118257,19.2456
"Bombay Castle",72.838122,18.931578
"Alang",73.661098,19.58017
"Kulang",73.640327,19.590682
"Madan",73.649254,19.589146
"Kavnai",73.619149,19.773236
"Shirgaon",72.713426,19.696314
"Castella de Aguada",72.818826,19.042373
"Mahim Fort",72.838079,19.042038
"Sion Fort",72.867562,19.046455
"Shri Malang gad",73.178301,19.109427
"Peb",73.276792,19.027555
"Sajjangad",73.91181,17.649175
"Asawa Fort",72.817898,19.690809
"Mahim Fort",72.721488,19.642416
"Ghodbandar Fort",72.888054,19.295995
"Terekhol Fort",73.686472,15.721476
"Chapora Fort",73.736125,15.606039
"Aguada Fort",73.773837,15.492186
"Songiri",73.332769,18.862136
"Koraigad",73.385711,18.620809
"Dahanu Fort",72.72048,19.972784
"Asheri",72.921968,19.820994
"Cross Island",72.851822,18.947937
"Bhairoba Durg",73.810358,19.404876
"Kaladgad",73.758945,19.42226
